Account_ID,Activities_Last_30_Days,Employees,ZoomInfo_Employee_Range,ZoomInfo_Revenue_Range,Organic_Visits,Pct_Organic_Visits,SEO_Visits,URLs_Indexed,ZoomInfo_Global_HQ_Country,Annual_Revenue_converted,Adjusted_Industry,Account_ICP_Score,Account_ICP_Tier,Page_Count,Page_Count_Range,Alexa_Rank,Parent_Account_Status,y
0012400000bppJR,3.0,15300.0,"Over 10,000",$1 bil. - $5 bil.,33870.0,0.14,122002869.0,0.0,US,3146480000.0,Media,100.0,Tier A,34783782.0,>1M,44905.0,unknown,no
0012400000bq1YI,6.0,20.0,250 - 500,unknown,4466583.0,0.6,4466583.0,10200000.0,US,1000000.0,Classified,95.833,Tier A,10200000.0,>1M,12593.0,unknown,yes
0012400000bppIx,0.0,5000.0,"1,000 - 5,000",$250 mil. - $500 mil.,43346.0,,167398357.0,268.0,US,1000000000.0,Media,100.0,Tier A,20283068.0,>1M,134602.0,unknown,no
0012400000dHlcS,0.0,10000.0,"Over 10,000",$1 bil. - $5 bil.,4839483.0,0.35,4839483.0,535000.0,non_US,1111300000.0,Classified,100.0,Tier A,542780.0,Between 500K and 1M,343068.0,unknown,no
0012400000frTN3,0.0,5000.0,unknown,unknown,6016575.0,0.11,11347637.0,3270000.0,non_US,1111300000.0,Classified,95.833,Tier A,8520000.0,>1M,2725.0,unknown,no
0012400000kXxjn,0.0,10000.0,"Over 10,000",Over $5 bil.,166806.0,0.17,144492634.0,45800.0,non_US,1000000000.0,Travel,100.0,Tier A,3645800.0,>1M,35859.0,Prospect,no
0012400000bdpSU,17.0,500.0,250 - 500,$50 mil. - $100 mil.,21377356.0,0.68,26078750.0,711000.0,US,50000000.0,Media,100.0,Tier A,1194500.0,>1M,1930.0,unknown,no
0012400000lvecq,0.0,5000.0,unknown,unknown,4476066.0,0.28,16994036.0,0.0,non_US,111130000.0,Media,100.0,Tier A,149000.0,Between 100K and 250K,6236.0,Prospect,no
0012400000fGDZw,2.0,5000.0,250 - 500,unknown,69918202.0,0.72,69918202.0,1380000.0,US,55565000.0,Other,100.0,Tier A,1380000.0,>1M,185.0,unknown,no
0011p00001RSTIW,0.0,5000.0,unknown,unknown,5483198.0,0.46,5483198.0,177000.0,non_US,1111300000.0,Retail,100.0,Tier A,177000.0,Between 100K and 250K,17373.0,Active Customer,no
0012400000fFnLs,0.0,1000.0,unknown,unknown,8891022.0,0.13,8891022.0,2350000.0,non_US,277825000.0,Media,91.667,Tier A,2350000.0,>1M,2760.0,Prospect,no
0012400000elpxe,0.0,200.0,10 - 20,$1 mil. - $5 mil.,6213506.0,0.41,6213506.0,1320000.0,non_US,11113000.0,Other,70.833,Tier A,1320000.0,>1M,4714.0,unknown,no
0011p00001RTUMq,0.0,50.0,250 - 500,$5 mil. - $10 mil.,10231037.0,0.71,10231037.0,203000.0,US,10000000.0,Classified,87.5,Tier A,203000.0,Between 100K and 250K,5805.0,unknown,no
0012400000fGjtU,0.0,650.0,"500 - 1,000",$250 mil. - $500 mil.,4781535.0,0.48,4781535.0,1860000.0,US,241739130.0,Classified,95.833,Tier A,1860000.0,>1M,6816.0,unknown,no
0012400000gO8hY,18.0,72500.0,"Over 10,000",Over $5 bil.,12133183.0,0.4,17270260.0,1880000.0,US,13000000000.0,Retail,100.0,Tier A,3364253.0,>1M,1453.0,unknown,no
0012400000ftGRK,0.0,200.0,50 - 100,$10 mil. - $25 mil.,5325665.0,0.87,5325665.0,264000.0,US,11113000.0,Classified,87.5,Tier A,264000.0,Between 250K and 500K,35189.0,unknown,no
0012400000fs5zN,4.0,200.0,unknown,unknown,235159741.0,0.24,235159741.0,53700000.0,non_US,30000000.0,Classified,91.667,Tier A,53700000.0,>1M,1000001.0,Lost Customer,no
0012400000fFjZq,1.0,10000.0,"1,000 - 5,000",$250 mil. - $500 mil.,14252255.0,0.23,14252255.0,3150000.0,US,1111300000.0,Media,100.0,Tier A,3150000.0,>1M,395.0,unknown,no
00124000018KQZa,21.0,1000.0,250 - 500,unknown,10908489.0,0.73,10908489.0,767000.0,non_US,131157795.35,Classified,95.833,Tier A,767000.0,Between 500K and 1M,2514.0,unknown,yes
0012400000frNBG,1.0,66000.0,"Over 10,000",Over $5 bil.,4300814.0,0.46,7517654.0,1430000.0,US,25000000000.0,Media,100.0,Tier A,1524700.0,>1M,4369.0,unknown,no
0012400000frNBO,28.0,27000.0,"Over 10,000",unknown,6808063.0,0.3,6808063.0,358000.0,non_US,1600000000.0,Retail,95.833,Tier A,358000.0,Between 250K and 500K,1873.0,Prospect,yes
0012400000frNBS,24.0,5000.0,"1,000 - 5,000",unknown,143243.0,0.31,683243671.0,9570.0,US,1200000000.0,Media,100.0,Tier A,120392305.0,>1M,90537.0,unknown,yes
0012400000frNBV,8.0,10000.0,"5,000 - 10,000",$1 bil. - $5 bil.,13025752.0,0.16,13025752.0,2070000.0,US,1000000000.0,Other,75.0,Tier A,2070000.0,>1M,197.0,unknown,no
0012400000fGApI,26.0,2850.0,unknown,unknown,160857.0,0.12,160857.0,1030000.0,non_US,611215000.0,Media,66.667,Tier A,1030000.0,>1M,36102.0,Prospect,yes
0012400000fHptc,0.0,5000.0,"1,000 - 5,000",$500 mil. - $1 bil.,11434.0,,17609533.0,2670.0,non_US,1111300000.0,Media,100.0,Tier A,6168570.0,>1M,1000001.0,unknown,no
0012400000gNbj9,0.0,1000.0,unknown,unknown,373205.0,,373205.0,5170000.0,non_US,11113000.0,Classified,66.667,Tier A,5170000.0,>1M,11404.0,unknown,no
0012400000fGjs2,18.0,5000.0,"1,000 - 5,000",$1 bil. - $5 bil.,103398.0,0.42,4196157.0,619.0,US,1000000000.0,Classified,91.667,Tier A,256619.0,Between 250K and 500K,268773.0,unknown,no
