Account_ID,Activities_Last_30_Days,Employees,ZoomInfo_Employee_Range,ZoomInfo_Revenue_Range,Organic_Visits,Pct_Organic_Visits,SEO_Visits,URLs_Indexed,ZoomInfo_Global_HQ_Country,Annual_Revenue_converted,Adjusted_Industry,Account_ICP_Score,Account_ICP_Tier,Page_Count,Page_Count_Range,Alexa_Rank,Parent_Account_Status,y
0011p00002SelT3,0.0,,-,-,6569113.0,0.7,6569113.0,24800000.0,-,,Other,100.0,Tier A,24800000.0,>1M,1000001.0,-,prospect
0011p00002Seldc,0.0,35.0,20 - 50,$5 mil. - $10 mil.,6893865.0,0.35,6893865.0,2660000.0,non_US,7600000.0,Media,83.333,Tier A,2660000.0,>1M,5235.0,Prospect,prospect
0011p00002Sejtf,0.0,103.0,100 - 250,$10 mil. - $25 mil.,14569124.0,0.72,14569124.0,905000.0,non_US,1000000.0,Media,91.667,Tier A,905000.0,Between 500K and 1M,6440.0,-,prospect
0011p00002Sekll,0.0,10.0,-,-,5189175.0,0.84,5189175.0,3750000.0,non_US,10000000.0,Media,83.333,Tier A,3750000.0,>1M,39279.0,Prospect,prospect
0011p00002SekpP,0.0,10000.0,"1,000 - 5,000",$100 mil. - $250 mil.,274150.0,0.64,22448567.0,284000.0,non_US,1000000000.0,Media,100.0,Tier A,2214000.0,>1M,83165.0,Prospect,prospect
0011p00002Sejfk,0.0,1000.0,-,-,4401683.0,0.86,4401683.0,1600000.0,-,250000000.0,Media,87.5,Tier A,1600000.0,>1M,1000001.0,-,prospect
0011p00002SejC6,0.0,500.0,250 - 500,$50 mil. - $100 mil.,1984305.0,,1984305.0,1740000.0,non_US,100000000.0,Media,79.167,Tier A,1740000.0,>1M,6528.0,-,prospect
0011p00002Seiii,0.0,200.0,100 - 250,$25 mil. - $50 mil.,37323785.0,0.8,37323785.0,2670000.0,US,50000000.0,Media,100.0,Tier A,2670000.0,>1M,1981.0,Prospect,prospect
0011p00002SejuI,0.0,,-,-,29944751.0,0.56,29944751.0,1730000.0,-,,Other,100.0,Tier A,1730000.0,>1M,1694.0,-,prospect
0011p00002SekoO,0.0,,-,-,9224597.0,0.8,9224597.0,6780000.0,US,,Other,100.0,Tier A,6780000.0,>1M,70615.0,-,prospect
0011p00002SeleC,1.0,500.0,"Over 10,000",$1 bil. - $5 bil.,1508111.0,,16763922.0,0.0,US,1000000000.0,Other,100.0,Tier A,6587300.0,>1M,1000001.0,-,prospect
0011p00002Seiir,0.0,13.0,10 - 20,$1 mil. - $5 mil.,10512741.0,0.76,10512741.0,35600000.0,-,2600000.0,Media,100.0,Tier A,35600000.0,>1M,284468.0,-,prospect
0011p00002SelQc,0.0,200.0,50 - 100,$10 mil. - $25 mil.,338.0,,28529558.0,214.0,US,50000000.0,Media,100.0,Tier A,6314214.0,>1M,1000001.0,-,prospect
0011p00002SejgE,0.0,50.0,20 - 50,$1 mil. - $5 mil.,5724446.0,0.62,5724446.0,1150000.0,non_US,10000000.0,Media,83.333,Tier A,1150000.0,>1M,21810.0,Prospect,prospect
0011p00002SekGS,0.0,10.0,-,-,18728249.0,0.6,18728249.0,1650000.0,non_US,1000000.0,Media,83.333,Tier A,1650000.0,>1M,10846.0,Prospect,prospect
0011p00002SeleU,0.0,10000.0,20 - 50,$1 mil. - $5 mil.,48306299.0,0.32,48306299.0,37600000.0,non_US,1000000000.0,Classified,95.833,Tier A,37600000.0,>1M,288.0,-,prospect
0011p00002SelR0,0.0,5000.0,50 - 100,$10 mil. - $25 mil.,1580262.0,,1580262.0,2470000.0,non_US,1000000000.0,Retail,79.167,Tier A,2470000.0,>1M,6282.0,-,prospect
0011p00002SelbQ,0.0,200.0,5 - 10,$1 mil. - $5 mil.,18361634.0,0.89,18361634.0,3990000.0,US,10000000.0,Other,100.0,Tier A,3990000.0,>1M,1729.0,-,prospect
0011p00002SemhB,0.0,10.0,5 - 10,$1 mil. - $5 mil.,36258293.0,0.44,36258293.0,3350000.0,US,1000000.0,Other,100.0,Tier A,3350000.0,>1M,1224.0,-,prospect
0011p00002Semas,0.0,1000.0,"1,000 - 5,000",$100 mil. - $250 mil.,2027.0,,6895892.0,995.0,non_US,1000000000.0,Media,91.667,Tier A,2660995.0,>1M,1000001.0,Prospect,prospect
0011p00002SemcI,0.0,1000.0,"500 - 1,000",$250 mil. - $500 mil.,2991318.0,,2991318.0,5960000.0,non_US,250000000.0,Classified,79.167,Tier A,5960000.0,>1M,2693.0,-,prospect
0011p00002SelLl,0.0,500.0,"500 - 1,000",$100 mil. - $250 mil.,48106282.0,0.61,48106282.0,1520000.0,US,50000000.0,Media,100.0,Tier A,1520000.0,>1M,1110.0,-,prospect
0011p00002Sejrg,0.0,25.0,-,-,14068716.0,0.72,14068716.0,3600000.0,-,10000000.0,Other,100.0,Tier A,3600000.0,>1M,996.0,-,prospect
0011p00002Sejsv,19.0,200.0,20 - 50,-,5091460.0,0.31,5091460.0,1700000.0,non_US,1000000.0,Other,66.667,Tier A,1700000.0,>1M,3735.0,-,prospect
0011p00002SelXm,0.0,200.0,20 - 50,$1 mil. - $5 mil.,6071389.0,0.4,6071389.0,1120000.0,non_US,10000000.0,Media,87.5,Tier A,1120000.0,>1M,4923.0,-,prospect
0011p00002SekZE,0.0,500.0,50 - 100,$10 mil. - $25 mil.,21293910.0,0.72,21293910.0,12800000.0,non_US,1000000.0,Media,95.833,Tier A,12800000.0,>1M,6815.0,-,prospect
0011p00002SeksY,0.0,,-,-,5895076.0,0.63,5895076.0,2100000.0,non_US,,Other,62.5,Tier A,2100000.0,>1M,7515.0,Active Customer,prospect
